From,To,bearing,distance
J,H,84.02241197294086,5.413641413818345
J,I,4.837407139567347,9.721194859433352
J,J,13,0
J,K,306.87407435840476,3.499064346669818
J,L,270.8100828319997,2.6952859530522906
J,M,113.46033716871239,4679.367393712958
J,N,309.81720626593443,3.0090325386400507
J,O,83.08540399018324,0.9355538526851839
J,R1,277.8067125554716,5.739595518160306
J,R2,276.61534642964466,5.425246546446381
J,RYC,294.29146029513186,6.085696879656499
J,T,283.14739844370513,5.158007259252445
J,S/F,84.02256146638774,5.413631219273756
J,U,285.2736776356228,4.948704411309645
J,V,288.5649135455304,4.234461797928312
J,W,283.4935064198189,5.4560458651430155
J,X,288.2993568144346,6.424280167264628
J,Y,286.37098804264446,6.551726476152536
J,Z,290.240439540109,6.306109453597133
K,A,257.6053943895592,2.886267274041713
K,B,259.28505641066886,0.9045996334558689
K,D,115.51894245526506,2.9170295070011183
K,E,99.09896453361375,4.443127462283849
K,G,88.18480581903805,7.217715327247992
K,H,100.58423177343661,8.326185095038845
K,I,25.454978222718978,8.405810153918544
K,J,126.82852551887231,3.499064346669818
K,K,13,0
K,L,177.06418736532862,2.0641618607345897
K,M,113.41765861366548,4682.7710249345455
K,N,109.46152781442106,0.517596734782959
K,O,118.01288751942593,4.224341781432684
K,R1,245.38542176655648,3.1747400265168233
K,R2,240.29936050307487,2.980400735369989
K,RYC,278.3161486092323,2.7773222381712372
K,T,247.3373888819507,2.4089677054771292
K,S/F,100.58434496909967,8.32617936271419
K,U,248.00110400876753,2.1292019710605015
K,V,238.21796081312593,1.4286312572174593
K,W,251.70265186335337,2.639116552285189
K,X,268.5218832076472,3.301331150831098
K,Y,265.80461081021593,3.496166228301768
K,Z,271.46153381082286,3.1186815523313194
L,A,296.2521329707515,3.260849393123945
L,B,332.2947654104831,2.1385942001617044
L,D,72.34129830530958,2.6517968954737876
L,E,72.4002402658246,4.491948216565533
L,G,72.15088357884929,7.46816070197955
L,H,86.23987490435854,8.09630538571536
L,I,19.97840859579202,10.268716603713356
L,J,90.77261045161947,2.6952859530522906
L,K,357.0722503652703,2.0641618607345897
L,L,13,0
L,M,113.41919195284953,4681.85483308188
L,N,11.44926164753872,1.9273008166404764
L,O,88.78437395835277,3.6245320969160577
L,R1,283.8845339384533,3.081918028702995
L,R2,282.25214728456183,2.7572941460857234
L,RYC,310.80555755934387,3.7698158145505
L,T,295.95813440122373,2.5898066048303687
L,S/F,86.23997762519446,8.096295754651816
L,U,301.2935768803905,2.433795458316464
L,V,314.765470059112,1.8591047151933655
L,W,295.28117280373255,2.8878164972703404
L,X,300.1323791111702,3.937798290276557
L,Y,296.6931827014421,4.020779559607505
L,Z,303.60045353791025,3.869637583037093
M,A,324.57194900097585,4685.111698148223
M,B,324.5920699427054,4683.519807239159
M,D,324.59889446537306,4679.8559572712165
M,E,324.6194425899003,4678.46596008074
M,G,324.6531578247212,4676.242296486765
M,H,324.63224000223835,4674.6529342239055
M,I,324.74383505914585,4682.474367516769
M,J,324.586888102565,4679.367393712958
M,K,324.60071695584264,4682.7710249345455
M,L,324.56920371384365,4681.85483308188
M,M,13,0
M,N,324.60132535676377,4682.254661581478
M,O,324.5949496582636,4678.560265608703
M,R1,324.56050766112094,4684.894184234995
M,R2,324.5601071054974,4684.559931363521
M,RYC,324.5883917557648,4685.452450570173
M,T,324.5711580190869,4684.442097792585
M,S/F,324.6322397071529,4674.652936157194
M,U,324.5748837585011,4684.265683245982
M,V,324.5807321242151,4683.586412714152
M,W,324.57080207427845,4684.7411250725745
M,X,324.5770446354383,4685.765639441621
M,Y,324.57311507219083,4685.869051727068
M,Z,324.58085478009434,4685.663551695738
N,A,262.30831112210507,3.337101899040634
N,B,270.18475893970225,1.3768580076581214
N,D,116.82872203391736,2.402943526649442
N,E,97.75054949726791,3.935074697272993
N,G,86.59480865916817,6.738016901697795
N,H,100.00595613393068,7.815196788720771
N,I,21.935300700599498,8.36761438015794
N,J,129.77897912232237,3.0090325386400507
N,K,289.46885082086203,0.517596734782959
N,L,191.4485192593744,1.9273008166404764
N,M,113.42510764844747,4682.254661581478
N,N,13,0
